signal,attention,meditation,delta,theta,alphaL,alphaH,betaL,betaH,gammaL,gammaM,Label
26,93,43,1023170,325056,125771,45684,139117,88153,160642,60061,Down
0,87,50,3017441,756830,196481,150877,87438,222312,168271,44528,Down
0,88,44,1066199,374914,70071,59275,56136,243008,71052,56440,Down
0,83,48,238641,115266,34550,23040,27010,24278,16139,5778,Down
0,60,51,1033083,269669,47672,32686,41269,47217,48006,19101,None
0,40,44,1064944,499336,54781,52051,52857,28591,37684,5170,None
0,29,60,208779,22526,18646,7017,5317,9481,20823,2090,None
0,34,74,1461963,343551,384442,212660,90646,153348,130266,48543,None
0,44,91,2266840,202753,505059,137434,156662,267478,149847,57494,None
0,64,94,233884,178141,26058,46143,21741,53251,32916,12643,None
0,57,90,1660019,608902,240142,152004,199251,129705,90251,45291,None
0,56,75,123850,251567,90286,18708,58249,49979,37467,29395,None
0,48,56,1608155,1557402,176309,300433,281512,393820,155447,154816,None
0,48,66,2004876,754297,678626,99242,116012,304653,120538,100108,None
0,53,78,1737253,341761,591295,44790,82053,182494,64326,58685,None
0,67,67,959098,123677,18911,12957,32569,61620,13566,15884,Forward
0,60,60,21582,73704,2569,7556,7503,9115,7503,4752,Forward
0,48,50,2958109,330401,42970,56163,40801,34507,20840,13254,Forward
26,48,50,768042,82108,21526,23444,12583,17406,9914,10966,Forward
0,37,35,1399815,1014770,123306,317612,364638,106798,81923,101295,Forward
0,23,44,126601,140329,51786,20358,40826,30510,27145,12056,Forward
0,23,41,2322481,108118,5684,2745,957,13092,7396,7686,Forward
0,38,47,140481,29956,15746,12958,20832,14887,13253,4716,Forward
0,41,57,361390,129363,99829,26402,22182,28040,25812,6322,Forward
0,60,50,2022675,217110,38728,60569,141934,185927,74494,70879,Forward
0,56,80,283051,155367,108669,81789,33795,27102,45396,30980,Backward
0,61,74,1002501,1496670,570071,197021,710673,930925,541236,394374,Backward
0,88,63,916728,47048,20927,89132,132411,127282,49147,18624,Backward
0,66,75,2252149,439350,225437,50496,123150,61719,39097,38696,Backward
0,69,70,2312799,186767,90632,42496,21800,30765,14601,13578,Backward
0,54,70,80082,50225,17459,1908,14501,8812,12644,3908,Backward
0,53,60,163658,50582,15694,2813,56733,53289,11282,10957,Backward
0,60,74,577491,77452,162996,175194,43583,68045,52222,34357,Backward
0,64,70,657308,313036,143340,139469,55894,94855,101784,65835,Backward
0,69,84,1087234,186630,100220,168455,65161,74907,33024,22685,Backward
26,69,84,420899,62990,7334,5751,19743,14633,13325,5998,Left
0,63,80,446827,59275,5672,7552,33829,32489,11093,6466,Left
0,57,69,105487,37909,30112,3873,8751,8579,4874,7005,Left
0,66,75,650754,26246,29267,57764,27370,29873,32302,13644,Left
0,70,70,321053,19137,15315,9701,4785,11602,8664,2471,Left
0,60,96,67807,10854,6315,18832,11990,6376,11548,4767,Left
0,66,90,230898,153992,58236,16276,18858,49311,8490,14298,Left
0,61,77,2942823,562217,100333,179161,162169,144623,129936,19464,Left
0,50,60,903580,91455,9606,8229,9129,11908,12381,6245,Left
0,50,54,966585,238616,121590,141820,166492,96048,59414,46332,Left
0,47,48,125158,15745,2892,1880,5128,3997,3469,2057,Right
0,53,48,1397109,70462,23522,24486,33399,33142,46604,10420,Right
0,70,54,253229,11675,1752,4548,4401,7412,4765,2640,Right
0,80,48,1069044,43976,19151,10261,21330,25042,16097,11133,Right
0,66,64,93891,163734,80656,84105,30536,22707,26567,7588,Right
0,75,54,771805,96761,23196,24105,171058,78995,41384,27387,Right
0,60,60,189775,182106,40441,67097,20511,32895,13552,13399,Right
0,47,64,328828,40666,18156,7713,3480,9337,4540,5439,Right
0,56,66,1364109,329982,320934,302717,149928,129280,107587,108196,Right
0,30,64,944199,2175647,71696,197058,168792,212175,118831,128538,None
0,50,64,81006,70452,11531,57884,24359,73946,65104,25650,Up
0,51,61,2002128,404402,111082,87041,64243,97393,138133,75277,Up
0,50,63,356004,198415,321626,152011,129876,75306,105976,32601,Up
0,64,80,574885,89203,40483,33382,45167,41030,72212,31917,Up
0,54,78,556583,93464,41581,18364,34927,37249,40805,8313,Up
0,53,77,801285,192943,47754,63413,98922,38710,35399,23385,Up
0,61,69,581437,122488,70196,64391,33152,58987,13668,16010,Up
26,61,69,544028,90849,52605,24125,25541,6113,8883,2883,Up
0,61,61,702431,158078,20998,46714,64846,56971,22688,14379,Up
0,51,77,743285,53826,44707,68002,19150,21308,16257,17764,Up
0,57,80,1206211,111646,14912,62348,18008,36236,9827,16898,Down
51,57,80,1518953,218579,63098,203877,162132,59692,20738,14879,Down
0,38,70,1087940,249733,79768,19708,27952,18327,18551,6608,Down
0,24,84,777815,243177,159155,103342,99265,46861,22865,25746,Down
0,29,70,1219689,91483,27854,24981,20412,25620,14734,5197,Down
0,24,69,85607,166986,60060,16562,11710,32070,13903,16610,Down
0,30,87,1280530,295249,341428,234686,30409,79945,33193,28276,Down
0,60,70,396081,36839,11369,6932,6684,42862,8230,11055,Down
0,63,66,1024852,159836,18816,60163,98147,55982,27953,42575,Down
0,64,70,758683,149693,58610,91697,62495,52824,72525,20108,Down
0,69,48,314798,401886,27518,82401,101352,71246,28876,23012,None
0,53,44,328282,145254,14120,21423,34058,34827,27674,4786,None
0,51,40,3105452,2418831,224751,314794,487405,580984,183672,133026,None
0,54,43,840679,95888,77141,56856,47123,54922,17292,16328,None
0,60,60,227866,123961,187613,94162,177514,86973,27302,28526,None
0,67,80,1241136,26148,86404,8193,29291,44098,29702,17287,None
0,60,77,1070906,1067199,118960,66443,248982,121094,119860,39682,None
0,54,56,1469063,779725,50814,72337,90810,133596,128851,50981,None
0,54,51,80603,26412,16870,5960,8332,10355,5466,2994,None
0,27,53,18035,14981,17551,3419,4516,1518,2600,2073,None
0,27,75,795603,99035,83302,108277,74288,27657,14793,11811,None
26,27,75,2874406,122410,36364,84099,100578,62467,24118,21034,None
0,37,81,494617,125211,29430,18683,43203,57531,9717,15105,None
51,37,81,940294,22036,8604,5225,12560,6600,4910,1220,None
26,37,81,892508,138331,206788,189928,286896,108681,51563,43737,None
