Signal,Attention,Meditation,delta,theta,alphaL,alphaH,betaL,betaH,gammaL,gammaM,Label
0,88,43,35074,13022,18145,5103,1772,6925,4140,3693,Left
0,81,61,12059,24969,22572,18299,2907,10608,4147,1871,Left
0,91,78,9580,9747,13240,4678,4266,9899,3853,3529,Left
0,83,84,23356,18243,36194,4931,15627,7769,4237,3158,Left
0,70,88,5817,27211,29349,23234,3405,4303,4890,5007,Left
0,53,97,39607,38761,67152,22205,5100,3102,3931,3051,Left
0,37,100,39017,30932,42145,19260,12969,6975,2705,2428,Left
0,41,97,15131,23996,15313,9533,4753,9632,3425,3290,Left
0,47,80,8938,37819,12973,9335,6763,5739,5164,3005,Left
0,66,69,16671,14941,22006,8473,7496,8902,4485,4578,Left
0,64,80,5850,14059,33879,13581,2071,4072,3007,3142,Left
0,54,94,21489,15212,21174,17257,2786,4068,2890,1765,Left
0,48,100,3418,17465,24804,11560,6888,2590,3749,3588,Left
0,29,100,28301,62844,24516,5435,6139,2619,2234,2603,Left
0,35,80,10239,23900,11632,7662,3226,4376,2686,1523,Left
0,38,69,7542,14917,18536,2120,6708,3799,2620,3815,Left
0,54,63,2742,12378,4790,19673,6398,8158,4317,4826,Left
0,81,54,8183,9715,3782,2065,6943,6759,5217,2249,Left
0,81,64,10671,11605,18943,3186,3405,3692,4314,2616,Left
0,81,67,3259,19750,21661,7612,3974,4880,2673,5116,
0,74,81,9611,7174,36212,6952,5111,5273,6516,3501,Right
0,60,100,7437,8878,21411,2071,3100,3656,1285,1111,Right
0,69,100,5213,3290,8140,7902,8012,6088,4017,1937,Right
0,64,100,21533,18676,12705,11577,6796,2810,4993,6667,Right
0,60,100,34914,15186,46755,23734,5136,5703,5273,3523,Right
0,70,84,13183,25604,18005,6685,3695,17159,9897,4677,Right
0,74,83,26981,8480,11126,7549,4708,8655,5952,1501,Right
0,80,83,6315,18266,18328,9318,6123,5892,3392,2844,Right
0,84,78,4174,12018,19263,14534,5150,4636,4068,1648,Right
0,77,88,19478,8441,13460,8517,3193,4817,2927,2098,Right
0,67,100,11051,3454,36053,6825,5822,6609,4890,3624,Right
0,67,90,2979,31047,8070,8584,12750,5698,2935,3851,Right
0,75,87,4871,6154,11272,20595,8300,8761,1982,3007,Right
0,66,97,8475,7223,21715,25999,6628,3407,4577,4171,Right
0,57,91,12856,24094,62425,6808,12293,5705,8355,6518,Right
0,60,100,25562,25762,51084,17046,12197,14164,13574,10884,Right
0,56,100,12634,30034,19048,8407,4823,9926,3697,7924,Right
0,53,100,15363,5734,53766,17460,4508,3751,5429,4343,Right
0,56,91,8037,16928,13134,17591,1729,3657,2888,2110,Right
0,57,74,20898,23274,6102,7547,2338,7044,1633,2011,Right
0,54,83,6294,12509,37318,28295,5873,9055,8546,10096,Right
0,67,60,12323,19463,14761,7557,7986,7470,6049,5196,Right
0,66,54,7408,13953,7973,11944,4878,2693,3899,2646,Right
0,63,66,146,7944,2603,21525,5474,4032,5988,3601,Right
0,56,51,24385,33583,24621,2220,2508,3606,3783,3547,Right
0,50,64,21572,13224,35446,5571,5416,4694,3016,2307,Right
0,64,51,16893,23049,4327,7534,5668,11571,3652,5718,Right
0,66,50,8413,18661,33424,7846,10127,8348,4468,3335,Right
0,78,56,9238,14748,17768,14132,4619,9169,6145,6540,Right
0,75,48,4534,30574,20301,13772,2187,4429,2120,2097,
0,57,64,10143,22745,36922,6086,2528,4445,4343,2838,Up
0,64,51,590930,14482,4892,6564,17237,7087,6303,9995,Up
0,69,41,11558,8012,1410,10627,12292,6200,7808,3822,Up
0,77,41,32881,18085,12082,10644,2402,4829,4872,5239,Up
0,84,43,12896,7939,27762,12271,8564,6549,7203,6151,Up
0,74,57,9815,21821,31685,5319,3928,5354,4584,10916,Up
0,64,80,6146,2971,43551,5754,4216,7260,3645,4561,Up
0,64,78,13828,11104,7687,11502,9274,3341,3595,4813,Up
0,63,75,15120,19583,29957,6227,4715,6792,3268,5999,Up
0,69,67,11658,15529,8278,9857,4875,5767,4572,4081,Up
0,75,44,9821,12317,7632,2215,7446,5719,5217,5340,Up
0,80,43,4407,14698,11409,8741,2830,7495,4277,2875,Up
0,80,41,9385,16476,13800,11569,5733,5589,4052,5913,Up
0,77,41,6254,16012,22236,2201,14121,5329,3515,4000,Up
0,66,51,13204,45571,23249,36887,3356,10241,4542,5683,Up
0,54,48,25793,51263,13031,28524,9888,6456,6557,2996,Up
0,43,43,133048,109972,35942,31854,4971,5649,9034,5619,Up
0,41,57,33247,6694,29643,12444,4711,5593,4388,4475,Up
0,54,60,10218,3276,7257,10422,2789,9677,8939,2354,Up
0,56,77,19194,15554,80896,17945,6852,8923,5563,7836,Up
0,74,90,15046,11412,12378,36513,2853,10260,7743,6274,Up
0,81,61,3357,23984,2288,4369,11248,7853,9984,5987,Up
0,67,66,24173,20627,38439,22293,5562,8070,9377,4934,Up
0,75,60,8572,13490,30227,9885,2515,8497,3462,4155,Up
0,77,50,23350,12930,18701,4890,4744,7522,4153,2402,Up
0,74,64,2717,16912,11417,9918,7674,7950,5533,6671,Up
0,83,53,3932,8471,6848,3477,6074,5586,4745,3964,Up
0,80,56,13284,6502,19278,24475,5320,6604,6466,3440,Up
0,87,53,18674,10945,10990,5553,4918,9446,6593,6397,Up
0,75,70,18811,13047,64134,12396,7043,6486,4400,6083,
0,70,77,50233,19024,10979,22457,9411,9153,15741,13558,Down
0,75,64,9279,35299,14174,25818,3375,14242,8335,12432,Down
0,61,74,43411,17113,46268,4748,7735,7272,12010,7819,Down
0,69,66,6749,3289,9761,5022,3298,2902,2588,783,Down
0,67,64,13526,30169,35001,5449,7269,9534,12820,8105,Down
0,57,69,9125,33446,24694,34110,8229,6259,6929,2258,Down
0,64,69,32913,13843,28385,13607,4170,11723,4219,1953,Down
0,66,54,1650,14886,2304,7239,3754,4457,6016,1945,Down
0,66,61,20341,4000,15552,12214,10052,4243,10911,2346,Down
0,77,56,16383,25710,11610,19203,5278,10047,7007,2727,Down
0,70,40,35447,53620,10479,14759,17198,10458,4041,3986,Down
